,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
0,Riyadh,Al-Arid neighborhood,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
1,Riyadh,Qadisiyah neighborhood,South,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000,"*** فيلا درج مع الصالة جديدة ***

عبارة عن مدخل سيارة و مشب و مجلس و مقلط و ٢ صالة و مطبخ ومستودع و ٤ غرف نوم منها واحدة ماستر و غرفة خادمة و٥ دورات مياه وغرفة غسيل وسطح 

التواصل عن طريق الواتساب 0537525709"
2,Riyadh,Qadisiyah neighborhood,South,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000,فيلا للايجار درج داخلي مشب خارجي مجلس مقلط وصاله غرف كبار سن مجلس نساء فوق ٤غرف نوم الدور الثالث غرفه شغاله مع السطح السعر ستون الف ريال قابل للتفاوض +شقه للايجار ٣غرف وصاله به السطح خاص الايجار دفعتين 20000الف للاستفسار الرجاء التواصل مع الاخ ابوعبد...
3,Riyadh,Al-Maizala district,the West,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000,"فيلا للايجار        جديده لن تستخدم          شارع 20



تتكون من     من مجلس مشب  ومقلط وصاله  وغرفه ومطبخ  و٢ دوره مياه 

درج فوق  ٢ غرفه ماستر  و٢ غرفه وصاله و٣دوره مياه 
سطح غرفه شغاله ودوره مياه 
وبتوفيق للجميع .

وتساب 0553216330"
4,Riyadh,Al Alia District,the West,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000,"فيلا للايجار حي العليا 

الارضي مجالس وغرفتين ومطبخ دورتين مياه 
العلوي 
غرف نوم وصاله 

للاستفسار ابو احمد 
0533332881"
5,Riyadh,prosperity district,East,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000,"الفيلا في حي الازدهار 
تتكون من مجلس رجال في الحوش مع دورة مياه
الدور الارضي يتكون من صاله ومجلس نساء ومطبخ ودورة مياه
الدور الاول غرفتين نوم فقط بدورة مياه
السطح غرفة خادمة بدورة مياه
تصلح لعائلة صغيرة ...
ملاحظه// إذا كان دفع الإيجار مقدماً يكون ب ..."
6,Riyadh,Mahdia district,North,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000,"دبلكس مساحه ٢٥٠
حي المهديه
دفع كل ٦ شهور"
7,Riyadh,Al-Arid neighborhood,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
8,Riyadh,Al Hazem Naghbarhad,South East,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000,فيلا دبكلوكس علي شارعين قريب من الجامع والخدمات حي هادى
9,Riyadh,Al Alia District,Southwest,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000,"New house for rent 150.000SR
New 
0500069102
New
4 bedrooms
4 bahrooms
4 livingrooms
Kitchen
Garage
No roof
New
0500069102

بيت بناء جديد دورين بدون سطح 
150.000 ريال"
